timestamp,open,high,low,close,volume,trade_count,vwap
2021-01-04 05:00:00+00:00,108.62,109.04,105.4,106.28,3164355.0,35163.0,106.36
2021-01-05 05:00:00+00:00,105.99,106.75,105.95,106.5,2606852.0,26968.0,106.41
2021-01-06 05:00:00+00:00,106.74,109.34,105.77,108.56,2939657.0,29275.0,108.13
2021-01-07 05:00:00+00:00,108.2,109.09,107.77,108.63,2706544.0,28493.0,108.43
2021-01-08 05:00:00+00:00,109.47,110.76,108.89,110.34,2802289.0,29749.0,110.0
2021-01-11 05:00:00+00:00,109.92,111.44,109.62,110.36,2130710.0,23815.0,110.47
2021-01-12 05:00:00+00:00,111.12,111.64,109.96,110.55,3319379.0,33469.0,110.67
2021-01-13 05:00:00+00:00,110.37,111.13,110.31,110.53,2796841.0,25590.0,110.61
2021-01-14 05:00:00+00:00,110.13,110.33,107.78,108.45,2928773.0,28805.0,108.54
2021-01-15 05:00:00+00:00,107.87,108.45,107.5,108.05,2937860.0,26045.0,107.95
2021-01-19 05:00:00+00:00,108.28,108.66,107.13,107.76,3753775.0,29420.0,107.77
2021-01-20 05:00:00+00:00,108.3,108.3,106.48,107.58,2700433.0,27506.0,107.37
2021-01-21 05:00:00+00:00,107.44,107.64,105.84,105.92,1816528.0,19626.0,106.13
2021-01-22 05:00:00+00:00,105.54,105.94,104.66,104.98,2168773.0,21224.0,105.16
2021-01-25 05:00:00+00:00,104.97,106.08,104.82,105.49,3169678.0,29669.0,105.43
2021-01-26 05:00:00+00:00,105.74,106.16,104.92,105.67,1756799.0,22177.0,105.62
2021-01-27 05:00:00+00:00,104.96,105.43,102.2,102.57,2782020.0,31266.0,102.96
2021-01-28 05:00:00+00:00,102.98,107.5,102.34,105.63,3550885.0,33592.0,105.88
2021-01-29 05:00:00+00:00,104.65,104.93,102.45,103.51,3230415.0,33711.0,103.64
2021-02-01 05:00:00+00:00,104.62,106.8,104.23,106.38,2837858.0,32783.0,106.22
2021-02-02 05:00:00+00:00,107.01,110.31,106.9,109.54,2882763.0,29551.0,109.57
2021-02-03 05:00:00+00:00,109.41,109.98,108.15,108.15,2538591.0,29203.0,108.51
2021-02-04 05:00:00+00:00,109.68,109.79,107.02,107.45,3228821.0,34673.0,107.83
2021-02-05 05:00:00+00:00,107.87,108.01,104.81,107.11,4015225.0,36410.0,106.6
2021-02-08 05:00:00+00:00,107.38,107.48,106.14,106.43,2949259.0,27985.0,106.5
2021-02-09 05:00:00+00:00,106.39,106.89,106.09,106.24,2327202.0,30963.0,106.33
2021-02-10 05:00:00+00:00,106.57,106.99,103.7,104.74,2914588.0,31220.0,104.58
2021-02-11 05:00:00+00:00,105.31,105.31,103.28,104.4,2498787.0,29644.0,104.02
2021-02-12 05:00:00+00:00,104.2,104.58,103.47,104.18,1926909.0,24527.0,104.02
2021-02-16 05:00:00+00:00,105.11,105.59,103.81,105.45,3119376.0,35948.0,105.04
2021-02-17 05:00:00+00:00,105.12,105.95,104.31,105.79,3189499.0,32929.0,105.54
2021-02-18 05:00:00+00:00,105.66,107.12,105.33,106.8,2136405.0,25004.0,106.46
2021-02-19 05:00:00+00:00,107.08,107.39,106.02,106.32,3659373.0,25725.0,106.47
